questions,category
What is the medicine of high blood pressure?,Medication Information
What kind of bacteria or viruses does a semen culture detect or look for?,Specific Health Conditions and Diseases
What's a heart murmur?,Diagnosis Explanation
What should I do for prematurely grey hair?,Lifestyle and Health
"What to do if I am having prk done , so while I'm on my recovery stage, should I have my place temperature at a certain degree?",Treatment Details
What would happen if someone mixed femara (letrozole) with human growth hormones?,Medication Information
When i get heart burn my eyes start burning as well and its very uncomfortable. Why and how can I treat it?,Specific Health Conditions and Diseases
Which listerine is best for cavities?,Medication Information
Why does my left hip almost every night? I get up scraming with it. It goes from my hip bone around front of my leg and ends at my knee .,Specific Health Conditions and Diseases
Why does my tongue hurt so bad?,Specific Health Conditions and Diseases
Will I still have baby after heart attack?,Treatment Details
Would a shattered scapula take longer to heal than a compound tib fib fracture?,Treatment Details
After a 3 days of influenza (flu) w/ fever took ibuprofen and acetaminophen it have left me with a back burning sensation. No problem during peeing. ?,Medication Information
"Ana 160:1 with u1rnp 5 u/ml. Other lupus screens negative. Pulmonary hypertension, Renal failure reverses with bicarbonate (sodium bicarbonate). Can it be mtcd/sjogren?",Specific Health Conditions and Diseases
Anorexic frail with irregular heartbeat?,Specific Health Conditions and Diseases
Any best multivitamin brand which is good for seborrheic dermatitis and candida overgrowth??,Medication Information
Any recommendations for an ointment for hand foot and mouth rash on a 2 year old?  She's energetic but a little uncomfortable with rash on arms/bottom,Medication Information
"Any suggestion i got injection benzapenecilin  2400000 and now feel worthier than before , i got cold  ?",Medication Information
"Are Sympathetic Nerve Blocks effective at calming the sympathetic system which causes angina and migraines? If not, why not? Would seem logical.",Treatment Details
"At night when I use my phone or pc, it becomes somewhat blurry. Why is this?",Lifestyle and Health
Blood pressure is 140/88. Little high? I'm 25.,General Health Information
Bright red spotting &period due in 6days. Had lght spottng 4 past yr mid cycle. Last month period lasted 12 days. 44 yrs old. Worried. Hormones?,Specific Health Conditions and Diseases
Can dementia cause ANS dysfunction? If so how?,Specific Health Conditions and Diseases
Can I tell me how I can keep my materialism up when my not eatting?,Lifestyle and Health
Can laser eye surgery cause pain during the process?,Treatment Details
Can micro dermabrasion hurt?,Treatment Details
Can somebody give me advice I have knee pain(locking) for 5 months now?,Specific Health Conditions and Diseases
Can someone die from an enlarged heart on xray?,Specific Health Conditions and Diseases
Can you advise me translate my MRI results?,Diagnosis Explanation
Can you call me at 908-405-0112?,"I'm sorry, but I am not able to make phone calls. I can only provide assistance through text-based responses. How can I help you today?"
Can you get abdominal adhesions from a laparoscopic bilateral hernia repair?,Treatment Details
Can you guys tell me how advanced does lung/bronchial cancer have to be?,Diagnosis Explanation
Diabetic macular edema can be cure with acupuncture?,Treatment Details
Does anyone know what can cause severe leg pain in both legs especially at night?,Specific Health Conditions and Diseases
Does a woman's virgina itch if she has sex with a man who has prostate problems?,Specific Health Conditions and Diseases
Does chiropractic medicine help people with back problems?,Treatment Details
Does excessive masturbation over a long period of time cause back ache?,Lifestyle and Health
Does ovarian cancer cause leg numbness and foot swelling?,Specific Health Conditions and Diseases
Does the dad or the mom carry the height gene for a daughter?,General Health Information
Does using a foam roller build muscle or relax muscle? What impact does it make?,Lifestyle and Health
Does weight loss is natural during breast feedind?,Lifestyle and Health
"Father has psoriasis and psoriatic arthritis, I also have joint pain. Does that mean an autoimmune disease will pass on to my son as well?",Specific Health Conditions and Diseases
"Feeling a little shaky, nausea. Not diabetic, but have a glucose meter. Meter reads 75mg 3 hours after eating a couple almond cookies. Is this normal?",Specific Health Conditions and Diseases
For what reasons might any surgeon choose a stomach stapling over a lap-band surgery?,Treatment Details
"Had liver failure, drs cannot pinpoint source; developed ascites.  How can I improve my liver and kidney function naturally? No meds.",Lifestyle and Health
Have a bump on right side lip of my vagina stings and itches so bad when I sit down it stings more I didn't have sex in year what can it b?,Specific Health Conditions and Diseases
Hello i noticed I have a small black dot  on my gum the mark takes up the surface area of the very tip of my gum tissue.The part looks like a triangle?,Specific Health Conditions and Diseases
How can a DHT blocker affect a female user on birthcontrol?,Medication Information
How can I address a gambling addiction?,Treatment Details
"How can I control my PP sugar level...Fasting is controlled. What extra edge I need to do to control it. Am eating meds, walk and eating also controlled?",Lifestyle and Health
How can I reduce my triglycerides levels. I had a kidney removed in 2010 & my levels have gone up. I am vegetarian and follow a really healthy diet.,Lifestyle and Health
How can I slow hair loss in the middle front of my hair?,Lifestyle and Health
How can you test cholesterol levels?,Preventive Medicine
How is a medical exam used by the insurance company?,General Health Information
How long does it take for sleeping meds to get out of your system? How long does it take anesthesia had to get out of your system.,Medication Information
How low can hemoglobin go before you need a transfusion?,Treatment Details
How much time or how far do I have to bike ride to lose weight?,Lifestyle and Health
How prevalent is low testosterone for men ages 30-50?,Specific Health Conditions and Diseases
How to cure Hernia Discale? What kind of exercises shall I do?,Treatment Details
How to live if you hate your life and your too afraid to die?,Lifestyle and Health
How to lose tummy fats?,Lifestyle and Health
I am 5/1 and 185 pounds I have hip problims so I don't exersise what is my waite loss options I am 45years old?,Lifestyle and Health
I am a male 21 yeas of age there is a small painless lump about 1 cm in my groin area this is at the point where my inner thigh connects with my groin?,Specific Health Conditions and Diseases
